2025-03-28 21:08:57,566 INFO    MainThread:3196808 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-28 21:08:57,567 INFO    MainThread:3196808 [wandb_setup.py:_flush():67] Configure stats pid to 3196808
2025-03-28 21:08:57,567 INFO    MainThread:3196808 [wandb_setup.py:_flush():67] Loading settings from /home/toprak/.config/wandb/settings
2025-03-28 21:08:57,567 INFO    MainThread:3196808 [wandb_setup.py:_flush():67] Loading settings from /home/toprak/PycharmProjects/cmpe591/Cmpe-591-HW3/src/wandb/settings
2025-03-28 21:08:57,567 INFO    MainThread:3196808 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-28 21:08:57,567 INFO    MainThread:3196808 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/toprak/PycharmProjects/cmpe591/Cmpe-591-HW3/src/wandb/run-20250328_210857-03hzb4f5/logs/debug.log
2025-03-28 21:08:57,567 INFO    MainThread:3196808 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/toprak/PycharmProjects/cmpe591/Cmpe-591-HW3/src/wandb/run-20250328_210857-03hzb4f5/logs/debug-internal.log
2025-03-28 21:08:57,567 INFO    MainThread:3196808 [wandb_init.py:init():761] calling init triggers
2025-03-28 21:08:57,567 INFO    MainThread:3196808 [wandb_init.py:init():766] wandb.init called with sweep_config: {'c_direction': 1.237565350244906, 'c_ee_to_obj': 0.5290319102794907, 'c_obj_to_target': 0.40136732987925416, 'completion_reward': 14.4450306374487, 'model_lr': 4.1301327343155406e-05, 'num_episodes_per_update': 3}
config: {'model_lr': 0.0001, 'c_ee_to_obj': 0.1, 'c_obj_to_target': 0.2, 'c_direction': 0.5, 'completion_reward': 10, '_wandb': {}}
2025-03-28 21:08:57,567 INFO    MainThread:3196808 [wandb_init.py:init():784] starting backend
2025-03-28 21:08:57,567 INFO    MainThread:3196808 [wandb_init.py:init():788] sending inform_init request
2025-03-28 21:08:57,573 INFO    MainThread:3196808 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-28 21:08:57,573 INFO    MainThread:3196808 [wandb_init.py:init():798] backend started and connected
2025-03-28 21:08:57,573 INFO    MainThread:3196808 [wandb_run.py:_config_callback():1261] config_cb None None {'c_direction': 1.237565350244906, 'c_ee_to_obj': 0.5290319102794907, 'c_obj_to_target': 0.40136732987925416, 'completion_reward': 14.4450306374487, 'model_lr': 4.1301327343155406e-05, 'num_episodes_per_update': 3}
2025-03-28 21:08:57,574 INFO    MainThread:3196808 [wandb_init.py:init():891] updated telemetry
2025-03-28 21:08:57,576 INFO    MainThread:3196808 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-28 21:08:58,050 INFO    MainThread:3196808 [wandb_init.py:init():990] starting run threads in backend
2025-03-28 21:08:59,288 INFO    MainThread:3196808 [wandb_run.py:_console_start():2375] atexit reg
2025-03-28 21:08:59,288 INFO    MainThread:3196808 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-28 21:08:59,288 INFO    MainThread:3196808 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-28 21:08:59,288 INFO    MainThread:3196808 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-28 21:08:59,290 INFO    MainThread:3196808 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-28 21:34:30,600 INFO    MsgRouterThr:3196808 [mailbox.py:close():129] Closing mailbox, abandoning 0 handles.
