2025-03-28 21:09:07,795 INFO    MainThread:3199053 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-28 21:09:07,796 INFO    MainThread:3199053 [wandb_setup.py:_flush():67] Configure stats pid to 3199053
2025-03-28 21:09:07,796 INFO    MainThread:3199053 [wandb_setup.py:_flush():67] Loading settings from /home/toprak/.config/wandb/settings
2025-03-28 21:09:07,796 INFO    MainThread:3199053 [wandb_setup.py:_flush():67] Loading settings from /home/toprak/PycharmProjects/cmpe591/Cmpe-591-HW3/src/wandb/settings
2025-03-28 21:09:07,796 INFO    MainThread:3199053 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-28 21:09:07,796 INFO    MainThread:3199053 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/toprak/PycharmProjects/cmpe591/Cmpe-591-HW3/src/wandb/run-20250328_210907-i77djt4h/logs/debug.log
2025-03-28 21:09:07,796 INFO    MainThread:3199053 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/toprak/PycharmProjects/cmpe591/Cmpe-591-HW3/src/wandb/run-20250328_210907-i77djt4h/logs/debug-internal.log
2025-03-28 21:09:07,796 INFO    MainThread:3199053 [wandb_init.py:init():761] calling init triggers
2025-03-28 21:09:07,796 INFO    MainThread:3199053 [wandb_init.py:init():766] wandb.init called with sweep_config: {'c_direction': 0.539320612794254, 'c_ee_to_obj': 0.5354387655493902, 'c_obj_to_target': 0.4053139027122785, 'completion_reward': 17.721084286041204, 'model_lr': 5.881888553230912e-05, 'num_episodes_per_update': 5}
config: {'model_lr': 0.0001, 'c_ee_to_obj': 0.1, 'c_obj_to_target': 0.2, 'c_direction': 0.5, 'completion_reward': 10, '_wandb': {}}
2025-03-28 21:09:07,796 INFO    MainThread:3199053 [wandb_init.py:init():784] starting backend
2025-03-28 21:09:07,796 INFO    MainThread:3199053 [wandb_init.py:init():788] sending inform_init request
2025-03-28 21:09:07,800 INFO    MainThread:3199053 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-28 21:09:07,800 INFO    MainThread:3199053 [wandb_init.py:init():798] backend started and connected
2025-03-28 21:09:07,800 INFO    MainThread:3199053 [wandb_run.py:_config_callback():1261] config_cb None None {'c_direction': 0.539320612794254, 'c_ee_to_obj': 0.5354387655493902, 'c_obj_to_target': 0.4053139027122785, 'completion_reward': 17.721084286041204, 'model_lr': 5.881888553230912e-05, 'num_episodes_per_update': 5}
2025-03-28 21:09:07,801 INFO    MainThread:3199053 [wandb_init.py:init():891] updated telemetry
2025-03-28 21:09:07,805 INFO    MainThread:3199053 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-28 21:09:08,294 INFO    MainThread:3199053 [wandb_init.py:init():990] starting run threads in backend
2025-03-28 21:09:10,773 INFO    MainThread:3199053 [wandb_run.py:_console_start():2375] atexit reg
2025-03-28 21:09:10,773 INFO    MainThread:3199053 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-28 21:09:10,773 INFO    MainThread:3199053 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-28 21:09:10,775 INFO    MainThread:3199053 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-28 21:09:10,776 INFO    MainThread:3199053 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-28 21:31:26,006 INFO    MsgRouterThr:3199053 [mailbox.py:close():129] Closing mailbox, abandoning 0 handles.
